lake,method,horizon_months,rmse,mae,nse,n_origins,min_exog_lag,requires_foresight
Kalamalka_Lake,SARIMA,1,0.052571803135102506,0.03917501463048981,0.8157986947063469,37,,False
Kalamalka_Lake,SARIMA,3,0.12906684499027196,0.10540941773086275,-0.05290822464859568,35,,False
Kalamalka_Lake,SARIMA,6,0.18306816880746477,0.15339032738439357,-0.9586699756934722,32,,False
Kalamalka_Lake,SARIMA,12,0.22884325324448623,0.20081985119555792,-3.1447717307998957,26,,False
Kalamalka_Lake,Persistence,1,0.05096948007897306,0.03569969969969958,0.8268560326330494,37,,False
Kalamalka_Lake,Persistence,3,0.10556982991589119,0.08432275132275142,0.2955652463825149,35,,False
Kalamalka_Lake,Persistence,6,0.1407067812277513,0.1181405009920635,-0.15708602412342598,32,,False
Kalamalka_Lake,Persistence,12,0.16545775663524864,0.14726923076923062,-1.1666993563208141,26,,False
Kalamalka_Lake,XGBoost_AR_only,1,0.060925333786296394,0.046076058175245536,0.7526096289871083,37,,False
Kalamalka_Lake,XGBoost_AR_only,3,0.14080626889191414,0.11338066146694294,-0.25315592404988285,35,,False
Kalamalka_Lake,XGBoost_AR_only,6,0.19398022908629217,0.16418762163818462,-1.1991280957886747,32,,False
Kalamalka_Lake,XGBoost_AR_only,12,0.19071233529480713,0.17182680066771003,-1.878604230922944,26,,False
Kalamalka_Lake,SARIMAX_all_vars,1,0.05274185330325185,0.041662748037104604,0.8146051224518187,37,1.0,False
Kalamalka_Lake,SARIMAX_all_vars,3,0.12723396599722883,0.10777401349294012,-0.02321585187171049,35,1.0,True
Kalamalka_Lake,SARIMAX_all_vars,6,0.17958158399290053,0.15176774376959376,-0.8847735876183604,32,1.0,True
Kalamalka_Lake,SARIMAX_all_vars,12,0.22278265813804377,0.19582919549849281,-2.9281417741300197,26,1.0,True
Kalamalka_Lake,XGBoost_all_vars,1,0.0602337197237889,0.04815031864798452,0.7581944163803814,37,1.0,False
Kalamalka_Lake,XGBoost_all_vars,3,0.11765363805978556,0.09381726283265314,0.12507293344808923,35,1.0,True
Kalamalka_Lake,XGBoost_all_vars,6,0.16315966955348205,0.1370447903653752,-0.5558267185226884,32,1.0,True
Kalamalka_Lake,XGBoost_all_vars,12,0.17360295965169578,0.15281445494635337,-1.3852760134298991,26,1.0,True
Kalamalka_Lake,SARIMAX_CCM_direct,1,0.04902264179462364,0.0402375138654122,0.839830293323339,37,1.0,False
Kalamalka_Lake,SARIMAX_CCM_direct,3,0.12923953745147954,0.108568734829398,-0.05572770872732269,35,1.0,True
Kalamalka_Lake,SARIMAX_CCM_direct,6,0.1893956151697653,0.1577443088362353,-1.096406181290401,32,1.0,True
Kalamalka_Lake,SARIMAX_CCM_direct,12,0.2333933096285206,0.20616318138284132,-3.3112300345052317,26,1.0,True
Kalamalka_Lake,XGBoost_CCM_direct,1,0.056122092060155934,0.04499672568991257,0.7900795922945743,37,1.0,False
Kalamalka_Lake,XGBoost_CCM_direct,3,0.13625257418650324,0.10813475104135524,-0.17341210013108044,35,1.0,True
Kalamalka_Lake,XGBoost_CCM_direct,6,0.22606556116212867,0.17310940766592303,-1.9867880508167306,32,1.0,True
Kalamalka_Lake,XGBoost_CCM_direct,12,0.25916895239135135,0.21621228732495107,-4.316065673678299,26,1.0,True
Kalamalka_Lake,SARIMAX_CCM_ancestors,1,0.045065306910683,0.035398023670469216,0.8646458350932844,37,1.0,False
Kalamalka_Lake,SARIMAX_CCM_ancestors,3,0.11807751798887178,0.0952775543056271,0.11875724105797547,35,1.0,True
Kalamalka_Lake,SARIMAX_CCM_ancestors,6,0.1734456874997371,0.14329499273803586,-0.7581770370995502,32,1.0,True
Kalamalka_Lake,SARIMAX_CCM_ancestors,12,0.224037507856692,0.1975187247179574,-2.9725178478391876,26,1.0,True
Kalamalka_Lake,XGBoost_CCM_ancestors,1,0.05759370436330408,0.04711230652081025,0.778926349283436,37,1.0,False
Kalamalka_Lake,XGBoost_CCM_ancestors,3,0.13352044125509693,0.10650907682107223,-0.12682545219548502,35,1.0,True
Kalamalka_Lake,XGBoost_CCM_ancestors,6,0.20992527052010332,0.16616763523230288,-1.5755206381871716,32,1.0,True
Kalamalka_Lake,XGBoost_CCM_ancestors,12,0.24258359998060527,0.21538635987541752,-3.657439955113529,26,1.0,True
Kalamalka_Lake,SARIMAX_Stepwise,1,0.0531795664679939,0.04168469847201255,0.8115151090738659,37,1.0,False
Kalamalka_Lake,SARIMAX_Stepwise,3,0.12696772888265886,0.10757115080023527,-0.0189381730862086,35,1.0,True
Kalamalka_Lake,SARIMAX_Stepwise,6,0.17755481457581274,0.14996879004323443,-0.8424703069725616,32,1.0,True
Kalamalka_Lake,SARIMAX_Stepwise,12,0.21900278917585664,0.19214102971516717,-2.7959779667999065,26,1.0,True
Kalamalka_Lake,XGBoost_Stepwise,1,0.061349426424750754,0.04936410989121287,0.7491535432222107,37,1.0,False
Kalamalka_Lake,XGBoost_Stepwise,3,0.12498064734592093,0.10334959953849943,0.01270560877555904,35,1.0,True
